tick_ms,valid_fix,fix_type,satellites,latitude_deg,longitude_deg,altitude_m,speed_mps,course_deg,hdop
48048,1,1,9,39.97369003,-105.14990997,1668.5000,0.1219,0.0000,1.3200
48208,1,1,9,39.97369003,-105.14990997,1668.4000,0.1219,0.0000,1.3200
49081,1,1,9,39.97368622,-105.14990997,1668.4000,0.0998,0.0000,1.3200
49236,1,1,9,39.97368622,-105.14990997,1668.5000,0.0998,0.0000,1.3200
50069,1,1,9,39.97369003,-105.14990234,1668.5000,0.1826,0.0000,1.3200
50232,1,1,9,39.97369003,-105.14990234,1668.6000,0.1826,0.0000,1.3200
51071,1,1,9,39.97369003,-105.14990234,1668.6000,0.2166,0.0000,1.3200
51189,1,1,9,39.97369003,-105.14990234,1668.5000,0.2166,0.0000,1.3200
52085,1,1,9,39.97368622,-105.14990997,1668.5000,0.0473,0.0000,1.3200
52237,1,1,9,39.97368622,-105.14990997,1668.2000,0.0473,0.0000,1.3200
53120,1,1,9,39.97368240,-105.14990997,1668.2000,0.0545,0.0000,1.3200
53244,1,1,9,39.97368240,-105.14990997,1668.0000,0.0545,0.0000,1.3200
54064,1,1,9,39.97368240,-105.14990234,1668.0000,0.0869,0.0000,1.3200
54307,1,1,9,39.97368240,-105.14990234,1667.8000,0.0869,0.0000,1.3200
55085,1,1,9,39.97367859,-105.14990997,1667.8000,0.0221,0.0000,1.3200
55195,1,1,9,39.97367859,-105.14990997,1667.5000,0.0221,0.0000,1.3200
56088,1,1,9,39.97367859,-105.14990234,1667.5000,0.1729,0.0000,1.3200
56210,1,1,10,39.97367859,-105.14990234,1667.7000,0.1729,0.0000,1.0600
57066,1,1,10,39.97367477,-105.14990997,1667.7000,0.1199,0.0000,1.0600
57194,1,1,10,39.97367477,-105.14990997,1667.0000,0.1199,0.0000,1.0600
58224,1,1,10,39.97367096,-105.14991760,1666.6000,0.0381,0.0000,1.0600
59092,1,1,10,39.97367096,-105.14991760,1666.6000,0.1039,0.0000,1.0600
59286,1,1,10,39.97367096,-105.14991760,1666.7000,0.1039,0.0000,1.0600
