tick_ms,temperature_c
570055,28.1875
571031,28.1875
572011,28.1250
573014,28.1875
574004,28.1875
575035,28.1875
576005,28.1875
577037,28.1250
578031,28.1250
579015,28.1875
580013,28.1250
581004,28.1875
582035,28.1875
583007,28.1250
584006,28.1250
585029,28.1250
586022,28.1250
587003,28.1250
588043,28.1250
589032,28.1250
590016,28.1250
591036,28.1250
592016,28.1250
593009,28.1250
594074,28.1250
595035,28.1250
596023,28.1250
597023,28.1250
598023,28.1875
599006,28.1250
600019,28.1250
601012,28.1250
602014,28.1250
603013,28.1250
604025,28.1250
605016,28.1250
606012,28.1250
607021,28.1250
608029,28.1250
609014,28.0625
610041,28.1250
611010,28.1250
612021,28.1250
613050,28.1250
614025,28.1250
615024,28.1250
616027,28.1250
617031,28.1250
618036,28.1250
619032,28.1250
620023,28.1250
621022,28.1250
622036,28.0625
623005,28.1250
624031,28.1250
625021,28.1250
626020,28.1250
627003,28.1250
628003,28.1250
629014,28.1250
630022,28.1250
631005,28.1250
632020,28.1250
633009,28.1250
634005,28.1250
635006,28.1250
636026,28.1250
637068,28.1250
638004,28.1250
639027,28.1250
640020,28.1250
641003,28.1250
642006,28.1250
643025,28.1250
644030,28.1250
645009,28.1250
646040,28.1250
647017,28.1250
648033,28.1250
649032,28.1250
650015,28.1250
651014,28.1250
652036,28.1250
653007,28.1250
654019,28.1250
655021,28.1250
656029,28.1250
657021,28.1250
658017,28.1250
659012,28.1250
660016,28.1250
661052,28.1250
662022,28.1250
663024,28.1250
664031,28.1250
665003,28.1250
666004,28.1250
667075,28.1250
668031,28.1250
669013,28.1250
670014,28.1250
671029,28.1250
672039,28.1875
673048,28.1875
674025,28.1875
675012,28.1250
676034,28.1250
677036,28.1250
678026,28.1250
679004,28.1250
680026,28.1250
681017,28.1875
682005,28.1875
683013,28.1875
684031,28.1875
685012,28.1875
686020,28.1250
687030,28.1875
688015,28.1250
689027,28.1250
690007,28.1875
691034,28.1875
692026,28.1875
693003,28.1875
694028,28.1250
695021,28.1250
696013,28.1875
697004,28.1875
698025,28.1250
699028,28.1250
700024,28.1250
701035,28.1250
702032,28.1250
703017,28.1250
704060,28.1250
705034,28.1250
706012,28.1250
707027,28.1250
708039,28.1250
709018,28.1250
710036,28.1250
711004,28.0625
712033,28.1250
713011,28.1250
714004,28.1250
715076,28.1250
716029,28.1250
717014,28.1250
718027,28.1250
719003,28.1250
720021,28.1250
721066,28.1250
722042,28.1250
723018,28.1250
724017,28.1250
725005,28.1250
726023,28.1250
727016,28.1250
728003,28.1875
729042,28.1250
730036,28.1250
731013,28.1250
732003,28.1250
733009,28.1250
734027,28.1250
735005,28.1875
736040,28.1250
737021,28.1250
738018,28.1250
739011,28.1250
740035,28.1250
741017,28.1250
742016,28.1250
743030,28.1250
744020,28.1250
745008,28.1875
746012,28.1250
747026,28.1875
748039,28.1250
749011,28.1250
750008,28.1250
751041,28.1250
752031,28.1875
753009,28.1875
754006,28.1875
755028,28.1250
756016,28.1250
757038,28.1250
758030,28.1875
759022,28.1875
760017,28.1250
761027,28.1250
762031,28.1875
763011,28.1250
764036,28.1250
765037,28.1250
766045,28.1250
767005,28.1250
768043,28.1250
769031,28.1250
770014,28.1250
771003,28.1250
772032,28.1250
773043,28.1250
774027,28.1250
775046,28.1250
776065,28.1250
777029,28.1250
778006,28.1250
779012,28.1250
780024,28.1250
781017,28.0625
782013,28.0625
783008,28.0625
784016,28.1250
785006,28.0625
786035,28.0625
787026,28.0625
788013,28.1250
789044,28.0625
790020,28.0625
791019,28.0625
792006,28.0625
793042,28.0625
794029,28.0625
795006,28.0625
796003,28.1250
797009,28.0625
798021,28.0625
799008,28.0625
800003,28.0625
801031,28.0625
802009,28.0625
803008,28.0625
804038,28.0625
805027,28.0625
806015,28.0625
807034,28.0625
808037,28.1250
809015,28.1250
810052,28.0625
811033,28.0625
812012,28.0625
813014,28.1250
814029,28.0625
815023,28.1250
816022,28.0625
817034,28.1250
818005,28.0625
819035,28.1250
820015,28.1250
821031,28.1250
822039,28.1250
823015,28.1250
824004,28.0625
825028,28.0625
826035,28.0625
827019,28.1250
828036,28.0625
829028,28.0625
830012,28.0625
831012,28.1250
832035,28.1250
833035,28.0625
834024,28.1250
835023,28.1250
836007,28.1250
837035,28.1250
838003,28.1250
839005,28.1250
840030,28.1250
841023,28.0625
842039,28.1250
843010,28.1250
844024,28.0625
845004,28.1250
846039,28.1250
847028,28.1250
848020,28.0625
849020,28.0625
850029,28.1250
851020,28.0625
852044,28.0625
853029,28.1250
854021,28.0625
855008,28.0625
856007,28.0625
857023,28.0625
858023,28.0625
859005,28.0625
860010,28.0625
861022,28.0625
862006,28.0625
863045,28.0000
864023,28.0625
865014,28.0625
866009,28.0625
867034,28.0625
868065,28.0625
869037,28.0625
870009,28.0625
871036,28.0625
872014,28.0625
873005,28.0625
874045,28.0625
875042,28.0625
876018,28.0625
877035,28.1250
878034,28.1250
879024,28.1250
880010,28.1250
881007,28.1250
882013,28.1250
883016,28.1250
884009,28.1250
885024,28.0625
886010,28.1250
887026,28.1250
888028,28.1250
889034,28.1250
890022,28.1250
891009,28.1250
892027,28.1250
893022,28.1250
894015,28.1250
895032,28.1250
896026,28.1250
897003,28.1250
898061,28.1250
899030,28.1250
900018,28.1250
901015,28.1875
902045,28.1875
903077,28.1250
904009,28.1875
905020,28.1250
906027,28.1250
907023,28.1250
908003,28.1250
909032,28.1250
910032,28.1250
911006,28.1250
912043,28.1250
913027,28.1250
914009,28.1250
915040,28.1250
916023,28.1250
917014,28.1250
918021,28.1250
919036,28.1250
920032,28.1250
921014,28.1250
922013,28.1250
923036,28.1250
924022,28.1875
925012,28.1875
926036,28.1875
927016,28.1875
928052,28.1875
929011,28.1875
930024,28.1875
931017,28.1875
932013,28.1875
933027,28.1875
934025,28.1875
935008,28.1875
936016,28.1250
937027,28.1250
938032,28.1250
939012,28.1250
940038,28.1250
941030,28.1250
942017,28.1250
943015,28.1250
944026,28.1250
945019,28.1250
946051,28.1250
947005,28.1250
948033,28.1250
949026,28.1250
950013,28.1875
951009,28.1250
952034,28.1875
953015,28.1875
954004,28.1250
955004,28.1250
956099,28.1250
957018,28.1875
958017,28.1250
959017,28.1250
960022,28.1250
961015,28.1875
962008,28.1250
963012,28.1875
964007,28.1875
965003,28.1875
966032,28.1875
967020,28.1875
968003,28.1875
969031,28.1875
970033,28.1875
971018,28.1875
972024,28.1875
973028,28.1875
974023,28.1875
975019,28.1875
976012,28.1875
977030,28.1875
978018,28.1875
979011,28.1875
980041,28.1250
981028,28.1875
982017,28.1875
983023,28.1875
984008,28.1875
985019,28.1875
986003,28.1875
987044,28.1875
988033,28.1875
989012,28.1875
990005,28.1875
991004,28.1250
992019,28.1875
993007,28.1250
994035,28.1875
995028,28.1875
996013,28.1875
997016,28.1250
998027,28.1875
999020,28.1875
1000012,28.1250
1001008,28.1875
1002025,28.1250
1003007,28.1875
1004009,28.1875
1005003,28.1250
1006043,28.1875
1007017,28.1250
1008014,28.1875
1009039,28.1875
1010023,28.1875
1011028,28.1875
1012083,28.1250
1013062,28.1250
1014014,28.1250
1015040,28.1250
1016028,28.1875
1017028,28.1250
1018003,28.1250
1019024,28.1250
1020028,28.1250
1021003,28.1250
1022013,28.1250
1023011,28.1250
1024005,28.1250
1025048,28.1250
1026041,28.1250
1027018,28.1250
1028017,28.1875
1029028,28.1250
1030018,28.1250
1031004,28.1250
1032055,28.1250
1033029,28.1250
1034009,28.1250
1035009,28.1875
1036005,28.1875
1037025,28.1875
1038017,28.1250
1039074,28.1250
1040033,28.1250
1041016,28.1250
1042035,28.1250
1043039,28.1250
1044019,28.1875
1045014,28.1250
1046008,28.1250
1047059,28.1250
1048024,28.1250
1049035,28.1250
1050037,28.1875
1051030,28.1875
1052018,28.1250
1053045,28.1250
1054034,28.1875
1055014,28.1250
1056033,28.1250
1057022,28.1250
1058017,28.1250
1059003,28.1250
1060043,28.1250
1061032,28.1250
1062022,28.1250
1063041,28.1250
1064013,28.1875
1065022,28.1250
1066031,28.1250
1067003,28.1875
1068022,28.1875
1069040,28.1250
1070044,28.1250
1071026,28.1250
1072015,28.1250
1073012,28.1875
1074025,28.1875
1075023,28.1875
1076004,28.1875
1077014,28.1875
1078018,28.1875
1079016,28.1875
1080043,28.1875
1081034,28.1250
1082011,28.1875
1083003,28.1875
1084035,28.1875
1085017,28.1875
1086017,28.1875
1087040,28.1250
1088005,28.1875
1089020,28.1875
1090013,28.1875
1091025,28.1875
1092029,28.1875
1093015,28.1875
1094017,28.1875
1095032,28.1875
1096021,28.1875
1097008,28.1875
1098030,28.1875
1099014,28.1875
1100018,28.1875
1101013,28.1875
1102070,28.1875
1103016,28.1875
1104018,28.1875
1105031,28.1875
1106021,28.1875
1107009,28.1875
1108024,28.1875
1109039,28.1875
1110016,28.1875
1111022,28.1875
1112023,28.1875
1113042,28.1875
1114034,28.1875
1115023,28.1875
1116004,28.1875
1117034,28.1875
1118012,28.1875
1119066,28.1875
1120003,28.1875
1121028,28.1875
1122010,28.1875
1123040,28.1875
1124022,28.1875
1125006,28.1875
1126046,28.1875
1127023,28.1875
1128024,28.1875
1129003,28.1875
1130005,28.1875
1131019,28.1875
1132025,28.1875
1133004,28.1875
1134030,28.1875
1135025,28.1875
1136004,28.1875
1137045,28.1875
1138029,28.1875
1139025,28.1875
1140035,28.1875
1141026,28.1875
1142013,28.2500
1143014,28.1875
1144039,28.1875
1145021,28.2500
1146019,28.2500
1147013,28.2500
1148034,28.1875
1149023,28.1875
1150016,28.1875
1151018,28.2500
1152005,28.2500
1153012,28.2500
1154012,28.1875
1155035,28.1875
1156024,28.1875
1157012,28.1875
1158010,28.1875
1159018,28.1875
1160021,28.1875
1161027,28.2500
1162007,28.1875
1163037,28.2500
1164012,28.2500
1165038,28.2500
1166006,28.2500
1167017,28.2500
1168003,28.1875
1169011,28.2500
1170082,28.2500
1171027,28.2500
1172053,28.2500
1173010,28.2500
1174018,28.2500
1175013,28.2500
1176027,28.2500
1177035,28.2500
1178005,28.2500
1179031,28.2500
1180022,28.2500
1181009,28.2500
1182007,28.2500
1183023,28.2500
1184003,28.2500
1185031,28.2500
1186017,28.2500
1187004,28.2500
1188011,28.2500
1189017,28.2500
1190013,28.2500
1191029,28.2500
1192026,28.2500
1193014,28.2500
1194004,28.2500
1195017,28.2500
1196015,28.2500
1197011,28.2500
1198021,28.2500
1199020,28.2500
1200051,28.2500
1201062,28.2500
1202007,28.2500
1203008,28.2500
1204038,28.2500
1205022,28.2500
1206042,28.2500
1207021,28.2500
1208008,28.2500
1209013,28.2500
1210030,28.3125
1211013,28.3125
1212008,28.2500
1213004,28.2500
1214027,28.2500
1215030,28.2500
1216034,28.2500
1217036,28.2500
1218013,28.2500
1219025,28.2500
1220035,28.2500
1221022,28.2500
1222029,28.2500
1223006,28.2500
1224010,28.2500
1225046,28.2500
1226013,28.2500
1227029,28.2500
1228045,28.2500
1229022,28.2500
1230036,28.2500
1231024,28.2500
1232005,28.2500
1233006,28.2500
1234015,28.2500
1235061,28.9375
1236026,28.3125
1237023,28.2500
1238027,28.2500
1239028,28.2500
1240011,28.2500
1241031,28.2500
1242022,28.2500
1243005,28.2500
1244046,28.2500
1245029,28.2500
1246023,28.2500
1247004,28.2500
1248038,28.2500
1249021,28.2500
1250006,28.2500
1251027,28.2500
1252013,28.2500
1253005,28.2500
1254026,28.1875
1255024,28.1875
1256020,28.2500
1257029,28.2500
1258025,28.2500
1259019,28.1875
1260031,28.2500
1261041,28.2500
1262029,28.2500
1263063,28.2500
1264008,28.1875
1265007,28.1875
1266004,28.2500
1267023,28.2500
1268017,28.2500
1269015,28.2500
1270046,28.2500
1271010,28.2500
1272070,28.2500
1273028,28.2500
1274004,28.2500
1275004,28.2500
1276022,28.2500
1277005,28.2500
1278010,28.2500
1279085,28.2500
1280079,28.9375
1281008,28.2500
1282026,28.2500
1283035,28.2500
1284006,28.2500
1285019,28.2500
1286027,28.2500
1287044,28.2500
1288010,28.2500
1289053,28.2500
1290049,28.2500
1291085,28.2500
1292014,28.1875
1293059,28.2500
1294086,28.2500
1295008,28.2500
1296100,28.2500
1297072,28.2500
1298014,28.2500
1299026,28.2500
1300023,28.2500
1301030,28.2500
1302080,28.2500
1303020,28.2500
1304051,28.2500
1305039,28.2500
1306064,28.2500
1307057,28.9375
1308010,28.2500
1309062,28.9375
1310004,28.2500
1311035,28.2500
1312016,28.2500
1313051,28.2500
1314041,28.2500
1315029,28.2500
1316003,28.2500
1317049,28.2500
1318040,28.2500
1319051,28.2500
1320030,28.2500
1321015,28.2500
1322017,28.2500
1323046,28.2500
1324027,28.2500
1325017,28.2500
1326035,28.2500
1327054,28.1875
1328015,28.2500
1329022,28.2500
1330017,28.2500
1331008,28.1875
1332010,28.2500
1333031,28.2500
1334026,28.1875
1335037,28.2500
1336035,28.2500
1337010,28.2500
1338005,28.1875
1339003,28.1875
1340021,28.2500
1341008,28.2500
1342052,28.2500
1343065,28.2500
1344045,28.2500
1345026,28.2500
1346021,28.2500
1347020,28.2500
1348025,28.2500
1349034,28.2500
1350011,28.2500
1351033,28.2500
1352023,28.2500
1353050,28.2500
1354039,28.2500
1355006,28.2500
1356090,28.2500
1357043,28.2500
1358019,28.2500
1359027,28.2500
1360026,28.1875
1361075,28.2500
1362074,28.2500
1363076,28.2500
1364050,28.2500
1365037,28.2500
1366046,28.2500
1367030,28.2500
